acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-723,-276,4462,-332,-180,-414
-738,-178,4319,-328,-97,-437
-778,-116,4143,-399,-37,-446
-768,-77,3950,-486,-2,-452
-743,-31,3758,-573,-3,-463
-728,61,3605,-669,-43,-496
-788,125,3659,-723,-118,-561
-643,262,3909,-650,-190,-687
-675,331,4226,-528,-199,-889
-696,92,4410,-425,-163,-1094
-763,-156,4444,-603,-91,-1178
-544,-259,4683,-1000,-1,-1152
321,-513,4709,-1012,107,-1206
-204,-735,4304,-733,228,-1292
-551,-765,4115,-859,291,-1207
-479,-774,4090,-1122,309,-1085
-609,-743,4130,-1309,339,-1004
-645,-695,4028,-1327,382,-1018
-636,-774,3911,-1276,406,-1084


-1150,2553,3180,-440,405,1087
-1001,3430,2948,-501,417,868
-1017,3416,2983,-731,393,819
-984,3400,3248,-1167,358,711
-946,3295,3348,-1125,350,585
-919,3196,3309,-974,350,444
-918,3071,3268,-905,350,326
-941,3004,3207,-913,348,234
-929,2933,3248,-964,336,154
-900,2900,3281,-922,330,66
-941,2856,3205,-894,325,-10
-956,2772,3187,-968,310,-61
-956,2772,3187,-968,310,-61
-922,2687,3217,-976,295,-127
-929,2619,3158,-876,280,-215
-967,2478,3094,-769,251,-299
-974,2306,3046,-784,183,-365
-978,2133,3209,-984,177,-336
-969,2013,3223,-909,184,-356
-989,1963,3047,-784,189,-380
-1050,1943,2846,-771,165,-378
-1079,1917,2790,-825,95,-365
-1058,1886,2906,-837,7,-358
-1057,1934,3003,-772,-66,-367
-1019,1974,3135,-736,-127,-379
-983,2009,3236,-678,-166,-415
-977,1952,3349,-606,-184,-466
-1005,1941,3263,-548,-192,-491
-958,1869,3351,-710,-203,-483
-947,1716,3476,-720,-193,-518
-993,1696,3425,-566,-178,-568
-1004,1689,3398,-528,-176,-595
-1002,1657,3397,-520,-191,-621
-1002,1587,3418,-488,-213,-653
-1018,1505,3466,-393,-233,-689
-1039,1451,3491,-322,-245,-703
-1033,1411,3560,-303,-259,-695
-1057,1456,3610,-287,-264,-681
-1038,1518,3622,-297,-268,-680
-1043,1527,3666,-265,-272,-711
-1026,1506,3626,-204,-287,-756
-1023,1327,3662,-391,-327,-800
-1014,1214,3792,-453,-324,-801
-1015,1144,3832,-414,-302,-811
-1069,1120,3751,-354,-272,-805
-1086,1176,3739,-373,-263,-775
-1108,1214,3741,-357,-254,-773
-1097,1264,3713,-266,-252,-807
-1131,1214,3694,-168,-268,-863
-1142,1153,3650,-72,-294,-905
-1117,1066,3657,-54,-315,-943
-1126,974,3586,-10,-326,-987
-1124,906,3578,28,-355,-1015
-1172,867,3603,33,-387,-1020
-1169,953,3567,-53,-423,-995
-1116,967,3699,-277,-453,-946
-1091,905,3907,-408,-455,-924
-1086,919,3922,-384,-431,-936
-1082,874,3890,-409,-410,-948
-1097,703,3937,-421,-406,-958
-1094,594,3900,-320,-417,-949
-1035,625,3896,-315,-440,-922
-1004,558,4085,-279,-445,-931
-1010,553,4127,-121,-428,-968
-1000,515,4168,-73,-408,-974
-1001,404,4200,-44,-374,-965
-1026,400,3981,82,-340,-961
-1027,453,3794,65,-336,-925
-1068,359,3803,-132,-346,-863
-1046,285,3947,-201,-365,-820
-1034,293,4073,-154,-366,-797
-1019,266,4113,-121,-353,-773
-1038,228,4216,-126,-339,-734
-1026,288,4237,-72,-324,-693
-963,454,4159,18,-307,-677
-988,513,4054,30,-282,-692
-1036,495,3873,36,-279,-751
-1054,506,3918,91,-308,-781
-1003,566,3902,172,-350,-810
-1029,570,3923,145,-382,-834
-978,532,4072,133,-403,-861
-998,538,4110,204,-394,-891
-987,567,3985,231,-395,-914
-910,572,4074,98,-398,-902
-893,576,4116,-92,-362,-889
-865,491,4245,-304,-311,-885
-926,357,4136,-336,-255,-911
-930,274,3918,-307,-261,-919
-877,173,3970,-338,-299,-885
-885,49,4193,-330,-313,-866
-826,171,4178,-217,-309,-866
