acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,target
-1176,721,2445,-142,589,-1033,0
-1279,785,2167,-85,535,-1042,0
-1365,667,2120,-53,437,-1074,0
-1418,492,2228,-30,330,-1085,0
-1469,443,2380,-16,243,-1069,0
-1483,529,2466,-9,176,-1043,0
-1491,656,2460,-12,112,-1042,0
-1487,655,2579,-40,40,-1060,0
-1463,627,2769,-63,-19,-1085,0
-1406,561,3011,-95,-49,-1112,0
-1382,417,3008,-104,-49,-1144,0
-1377,220,2913,-107,-54,-1162,0
-1353,102,2788,-81,-77,-1165,0
-1345,11,2679,-42,-124,-1172,0
-1332,-64,2754,-11,-188,-1175,0
-1269,-139,2877,16,-239,-1173,0
-1288,-197,2836,27,-261,-1167,0
-1322,-139,2566,62,-294,-1156,0
-1340,-74,2373,106,-377,-1169,0
-1321,-294,2589,126,-494,-1193,0
-1245,-403,2860,130,-570,-1176,0
-1245,-351,2862,124,-598,-1141,0
-1257,-359,2798,89,-625,-1114,0
-1212,-469,2833,80,-679,-1102,0
-1185,-1039,3062,81,-745,-1046,0
-1201,-1071,2885,109,-756,-960,0
-1225,-937,2635,145,-799,-879,0
-1198,-789,2484,185,-885,-822,0
-1137,-762,2537,205,-1003,-786,0
-1029,-883,3012,200,-1135,-748,0
-880,-836,3585,181,-1202,-685,0
-806,-815,3871,168,-1186,-642,0
-854,-703,3788,176,-1147,-593,0
-837,-502,3775,177,-1149,-552,0
-765,-540,3995,172,-1173,-534,0
-687,-339,4131,142,-1166,-485,0
-628,2,4072,109,-1144,-467,0
-644,-110,4063,82,-1137,-511,0
-601,-360,4171,80,-1143,-536,0
-525,-638,4354,90,-1137,-529,0
-490,-905,4456,83,-1111,-484,0
-451,-1026,4503,45,-1072,-403,0
-404,-1155,4582,14,-1038,-322,0
-365,-1127,4605,-12,-994,-227,0
-354,-978,4530,-40,-951,-141,0
-300,-941,4570,-53,-934,-89,0
-246,-834,4517,-27,-913,-52,0
-318,-875,4425,23,-903,-35,0
-162,-900,4518,51,-926,-1,0
-64,-904,4941,55,-934,36,0
-35,-936,4951,92,-873,67,0
32,-992,4921,136,-825,101,0
58,-1145,5007,160,-780,144,0
84,-1095,4852,192,-716,213,0
55,-836,4513,212,-673,267,0
13,-919,4407,230,-679,284,0
46,-1119,4618,256,-701,338,0
103,-993,4773,288,-687,436,0
85,-590,4632,317,-654,518,0
127,-220,4504,303,-649,551,0
140,-236,4548,315,-666,534,0
241,-329,4788,346,-672,539,0
354,-301,4857,369,-629,560,0
384,-454,4752,384,-576,575,0
434,-352,4736,388,-539,631,0
455,-95,4744,396,-502,673,0
430,69,4740,384,-457,686,0
414,186,4663,355,-404,687,0
