acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
365,147,4147,1,19,8
366,54,4177,-9,24,9
365,78,4145,-17,37,23
371,121,4082,-12,46,25
365,68,3972,-4,47,19
350,29,3958,-2,33,26
356,110,4021,0,20,36
351,166,4055,6,19,31
350,179,4032,11,21,24
328,140,3935,7,18,20
341,139,4032,-1,-3,25
366,249,4175,-13,-5,35
372,315,4187,-16,9,25
367,234,4149,-24,23,9


546,628,5916,-10,586,-226
548,522,5986,14,672,-269
464,277,5684,3,787,-297
357,108,5431,-9,867,-299
238,6,5197,0,930,-287
181,160,4952,51,964,-264
167,283,4912,100,974,-276
147,106,4843,127,999,-302
150,116,4755,140,1016,-292
150,123,4787,125,1031,-291
116,90,4713,110,1062,-290
109,127,4666,127,1087,-293
91,105,4693,146,1121,-308
27,102,4473,157,1175,-318
-63,54,4140,160,1206,-333
-169,-53,3891,157,1193,-344
-216,-78,3825,162,1162,-337
-279,4,3690,166,1140,-325
-336,61,3647,169,1108,-328
-387,2,3576,174,1086,-336
-447,-116,3516,169,1064,-331
-474,57,3392,159,1047,-300
-509,229,3242,140,1017,-300
-552,-20,3344,108,973,-329
-593,-150,3312,102,957,-314
-631,-64,3106,96,940,-285
-697,-107,2991,82,897,-282
-764,-97,2866,81,845,-275
-825,-107,2741,93,780,-264
-860,-129,2809,111,697,-256
-913,46,2764,79,600,-238
-967,-120,2753,75,537,-244
-959,-105,2876,82,478,-218
-970,12,2825,68,445,-195
-994,-11,2770,44,400,-189
-988,-100,2821,36,344,-179
-976,-37,2791,38,302,-156
-981,-42,2687,29,199,-141
-992,-76,2646,31,142,-129
-983,7,2552,41,82,-107
-972,176,2455,40,6,-93
-959,158,2612,28,-85,-102
-949,328,2739,22,-147,-94
-918,479,2686,23,-196,-107
-907,376,2656,24,-258,-146
-881,270,2737,20,-329,-158
-848,336,2805,1,-384,-147
-821,358,2786,-23,-431,-150
-803,418,2779,-40,-482,-153
-803,418,2779,-40,-482,-153
-782,449,2786,-23,-593,-196
-764,451,2756,0,-647,-215
-752,473,2730,6,-713,-233
-747,450,2833,-12,-793,-244
-675,547,3082,-27,-863,-241
-604,858,3228,-40,-906,-255
-600,848,3245,-57,-939,-322
-581,625,3431,-52,-987,-378
-498,747,3586,-55,-1015,-388
-443,736,3723,-95,-1031,-428
-404,504,3902,-133,-1035,-469
-362,547,3884,-143,-1018,-475
-302,435,3873,-158,-1011,-503
-307,504,3540,-152,-1033,-525
-237,230,3893,-141,-1105,-592
-220,54,3995,-121,-1105,-596
-168,506,3939,-100,-1104,-569
-111,459,4144,-119,-1139,-633
-120,190,4389,-132,-1138,-669
-154,36,4140,-146,-1110,-642
86,195,4860,-194,-1143,-587
-1,336,4481,-242,-1017,-615
-18,92,4312,-226,-1027,-668
38,-226,4467,-182,-974,-707
61,-393,4437,-202,-961,-678
94,-432,4480,-200,-943,-639
109,-349,4411,-184,-924,-605
227,-398,4532,-170,-946,-609
288,-648,5002,-184,-921,-570
297,-425,4750,-168,-820,-519
309,-522,4478,-143,-799,-530
361,-809,4993,-101,-813,-528
370,-977,5145,-90,-733,-474
354,-756,4907,-80,-657,-395
464,-453,4854,-74,-651,-367
518,-563,5080,-89,-622,-371
475,-533,5030,-80,-551,-344
486,-451,5137,-70,-511,-331
478,-458,5065,-73,-456,-332
491,-488,5001,-77,-407,-325
479,-653,5028,-76,-356,-311
488,-860,5123,-76,-305,-269
522,-764,5145,-99,-230,-193
482,-489,4783,-127,-146,-141
444,-498,4611,-127,-119,-142
459,-645,4646,-96,-108,-138
482,-618,4630,-80,-76,-111
471,-682,4512,-93,-37,-93
460,-881,4485,-89,-17,-68
484,-908,4469,-77,7,-15
504,-825,4343,-76,38,30
508,-943,4383,-62,53,51
497,-1039,4350,-15,82,90
439,-1035,4100,32,106,135
402,-1233,4057,74,88,172
408,-1370,4116,113,71,237
413,-1386,4083,117,70,317
413,-1393,4126,109,61,398
484,-1273,4278,119,59,477
477,-1158,4177,136,85,536
482,-1159,4155,149,84,575
501,-1137,4223,173,92,613
520,-1028,4107,220,119,699
519,-1082,3872,226,133,737
534,-1189,3815,250,115,771
509,-1364,3802,292,98,826
568,-1174,3923,332,76,933
625,-680,4015,324,75,1031
607,-350,3963,286,92,1069
597,-76,3911,291,91,1076
593,142,3938,334,91,1047
548,41,3934,351,92,1004
539,1,4055,349,98,1004
483,197,3863,324,125,1030
476,450,3797,292,113,1034
497,686,3778,272,98,1008
523,667,3776,255,76,950
563,466,3908,237,51,906
598,490,3872,217,45,903
619,607,3836,199,25,886
643,758,3817,207,-1,856
684,852,3920,191,-37,800
711,632,4247,175,-57,739
740,736,4291,146,-24,724
718,666,4098,107,9,687
700,546,4100,92,6,662
733,671,4267,83,9,656
720,879,4237,61,46,636
691,1028,4062,75,70,583
688,905,4040,105,60,500
649,681,4110,108,51,448
642,797,4066,82,52,441
613,869,3942,46,46,409
594,817,3942,29,20,360
611,818,4088,33,-4,293
601,781,4117,12,-3,257
594,606,4179,1,-1,224
592,705,4164,-7,10,216
591,768,3963,-13,22,181
592,542,4025,-3,4,129
599,443,4053,2,2,113
595,470,4037,4,7,105
558,360,3920,9,10,80
559,246,3923,17,-5,70
559,241,3989,16,-16,74
564,285,3972,19,-17,73
595,203,4065,15,-29,63
624,219,4324,-4,-25,74
601,408,4247,0,14,72
581,289,4252,3,26,33
562,172,4389,-8,43,25
546,312,4276,-21,79,35
516,325,4194,-30,89,14
481,183,4113,-28,86,-11
453,68,4028,-20,70,-18
433,4,4068,-31,47,-13
406,-30,4030,-48,39,0
401,-86,4055,-44,26,8
401,-120,4072,-34,25,22
408,-9,3961,-28,24,40
434,15,4107,-35,7,37
436,42,4134,-39,20,49
459,168,4128,-34,29,48
438,120,4092,-28,39,28
424,27,4121,-26,39,23
426,111,4118,-37,50,33
382,154,3895,-47,60,24
369,105,3844,-38,34,6
372,2,3915,-20,1,-4
391,-47,3963,0,-17,0
421,9,4106,12,-35,5
428,-76,4180,1,-26,12
440,-50,4197,2,-15,32
452,83,4141,7,0,41
437,9,4167,-4,2,32
438,-55,4289,-20,8,43
452,140,4207,-30,35,61
430,245,4013,-32,45,43
423,89,4073,-32,20,14
454,-13,4238,-22,9,14
465,94,4186,-14,26,27
446,94,4093,-21,31,17
434,58,4089,-26,24,8
433,17,4096,-27,22,6
414,-83,4087,-39,24,12
401,-32,4019,-40,28,35
406,65,3985,-37,21,41
415,31,4012,-31,11,34
434,30,4061,-27,5,36
451,141,4089,-32,8,44


431,531,5566,20,624,-198
328,153,5262,2,721,-240
261,151,5008,22,761,-228
240,205,5002,35,780,-232
215,112,5002,43,812,-247
224,250,4971,62,857,-248
204,203,4765,86,910,-282
156,-60,4624,104,933,-308
134,-89,4600,109,942,-291
109,28,4538,100,961,-277
55,-9,4443,97,975,-286
-8,-98,4460,102,979,-286
-43,176,4345,135,1033,-303
-112,-48,4289,137,1035,-336
-142,-155,4357,150,1039,-324
-165,-66,4212,145,1058,-293
-158,168,4205,134,1050,-284
-193,37,4245,112,1054,-317
-243,-71,4059,110,1073,-321
-272,-3,3921,118,1063,-318
-301,-171,3973,102,1047,-333
