acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
638,270,6267,410,361,188
684,494,6286,431,438,178
723,586,6404,439,518,147
724,564,6388,428,631,107
717,745,6382,363,772,70
575,597,5987,315,942,4
378,145,5268,315,1031,-37
233,-200,5109,362,1014,-13
218,-194,5086,474,1006,66
195,123,4935,546,1023,139
126,374,4720,566,1043,152
119,483,4518,583,1044,136
77,480,4461,593,1033,111
82,425,4473,619,1024,97
112,486,4478,640,1036,107
128,738,4503,660,1061,110
160,980,4486,671,1100,73
138,956,4358,665,1151,3
119,776,4159,650,1194,-55
49,666,3808,620,1232,-72
-68,642,3327,597,1235,-72
-162,719,3008,575,1177,-65
-216,873,2942,527,1094,-60
-434,1053,2589,403,984,-94
-567,1073,2240,337,914,-113
-682,1077,1946,272,818,-127
-810,1048,1908,255,689,-149
-785,898,2388,287,541,-171
-680,944,2872,289,506,-145
-687,1180,2788,236,570,-115
-754,1425,2257,168,608,-105
-833,1759,1732,123,556,-115
-846,1952,1593,112,419,-164
-817,1968,1733,117,261,-228
-757,2097,1920,110,132,-261
-730,2425,2085,88,24,-289
-655,2735,2469,68,-87,-352
-564,2962,3003,33,-162,-436
-508,3116,3327,-31,-159,-528
-477,3334,3245,-166,-106,-780
-475,3176,3158,-225,-102,-939
-481,2742,3169,-261,-113,-1093
-461,2190,3320,-269,-131,-1205
-455,1792,3394,-257,-127,-1263
-493,1492,3372,-246,-116,-1295
-534,1253,3363,-236,-119,-1321
-594,1042,3352,-218,-128,-1342
-638,765,3387,-190,-148,-1364
-696,491,3590,-148,-173,-1379
-742,207,3756,-121,-170,-1364
-832,5,3690,-112,-146,-1316
-879,-145,3613,-94,-148,-1255
-891,-166,3572,-58,-174,-1195
-892,-137,3574,-34,-218,-1153
-859,-266,3671,-1,-269,-1138
-812,-496,3982,11,-304,-1120
-750,-701,4256,5,-296,-1071
-747,-783,4175,-12,-250,-988
-756,-781,4036,-27,-223,-901
-757,-816,3989,-20,-226,-819
-705,-622,4007,-11,-237,-737
-701,-404,3987,-24,-232,-708
-770,-535,3992,-44,-225,-727
-802,-846,3982,-62,-207,-714
-828,-922,3768,-58,-171,-644
-857,-875,3423,-55,-159,-575
-855,-1014,3284,-41,-190,-530
-852,-1246,3180,-24,-235,-471
-842,-1409,3260,3,-288,-384
-778,-1418,3392,31,-325,-266
-741,-1183,3220,45,-321,-133
-733,-878,2985,59,-337,-31
-711,-639,2931,88,-388,30
-655,-387,2905,113,-431,82
-617,-11,2798,103,-457,105
-632,70,2678,92,-496,87
-646,103,2613,94,-547,82
-683,238,2521,83,-595,98
-714,361,2387,53,-649,111
-740,446,2231,18,-721,114
-723,449,2082,-25,-816,114
-643,401,2274,-64,-950,104
-381,202,2932,-121,-1093,122
-292,265,2931,-122,-1113,148
-193,197,3117,-125,-1150,158
-102,112,3231,-141,-1164,198
-44,237,3408,-148,-1201,249
84,377,3802,-166,-1238,285
183,506,4020,-200,-1223,296
235,598,3985,-232,-1185,270
254,481,3947,-245,-1175,208
314,315,4031,-240,-1188,164
367,232,4083,-219,-1206,153
456,132,4352,-199,-1242,155
563,101,4816,-216,-1258,168
570,196,5069,-256,-1208,189
538,210,5074,-277,-1134,188
504,176,4843,-261,-1083,168
1021,-280,6537,-96,-1367,94
896,-368,6690,-161,-980,182
732,-313,5427,-201,-736,271
822,-55,5562,-188,-761,324
877,77,6053,-155,-736,309
889,151,6076,-110,-629,266
894,146,6051,-77,-535,187
858,-323,6011,-29,-436,80
830,-1297,5876,70,-331,61
716,-1711,5586,190,-228,207
768,-1472,5235,294,-203,371
832,-1089,5383,294,-209,490
876,-923,5580,234,-159,557
811,-910,5339,217,-66,604
817,-800,5146,250,-20,645
785,-846,5037,284,11,667
827,-1030,5097,304,42,684
837,-1256,4958,304,111,731
798,-1383,4651,300,174,827
808,-1216,4411,298,191,964
862,-770,4370,294,187,1092
867,-262,4316,292,192,1160
907,65,4322,288,208,1072
892,-255,4291,301,249,1025
842,-536,4044,336,297,1038
841,-496,3746,380,307,1092
904,-436,3877,402,273,1148
983,-226,3965,394,271,1218
1033,284,3860,341,291,1290
1001,803,3587,281,297,1292
928,951,3464,238,256,1223
939,918,3644,212,200,1169
1015,1155,3937,160,182,1138
988,1533,4006,35,218,1058
888,1425,3789,-58,241,953
812,1366,3754,-96,226,895
778,1369,3824,-98,211,857
774,1450,3948,-114,202,827
745,1590,3891,-157,225,784
704,2141,3309,-225,232,693
624,1420,3472,-223,116,499
642,605,4092,-100,55,508
745,1320,4072,14,99,642
806,1981,3928,33,116,620
834,1933,4074,-19,105,488
793,1629,4196,-62,122,378
799,1436,4175,-69,150,306
758,1315,4111,-77,183,244
699,1156,3969,-87,206,188
665,1040,3806,-97,199,152
649,935,3785,-96,172,127
642,878,3772,-91,150,115
652,939,3767,-90,122,98
631,926,3823,-93,93,53
573,665,3923,-80,70,3
539,590,3992,-59,63,6
545,757,3914,-35,65,33
535,933,3765,-10,49,22
547,897,3868,-5,0,-31
542,629,4074,-31,-27,-74
548,364,4231,-59,-23,-70
567,281,4324,-77,0,-30
559,361,4301,-83,31,5
568,408,4176,-89,62,13
537,454,4048,-72,62,-23
494,414,3992,-84,63,-49
458,263,3879,-94,61,-63
438,251,3878,-69,31,-57
442,218,3979,-59,5,-61
460,91,4039,-79,3,-58
454,-2,4007,-95,5,-39
475,27,4101,-97,-1,-13
484,69,4180,-90,5,1
495,112,4180,-96,26,11
492,149,4128,-91,43,10
467,160,4024,-80,53,5
450,74,4003,-65,42,-6
472,-71,4052,-64,30,-4
472,-8,3981,-72,31,25
455,153,3922,-58,13,41
472,379,3952,-26,-19,28
472,333,4020,-7,-46,-19
509,193,4222,-10,-68,-48
479,-3,4292,-33,-49,-50
513,-102,4361,-59,-32,-25
510,-11,4257,-77,1,14
490,187,4061,-60,9,34
541,331,4185,-43,-14,17
574,274,4331,-42,-11,-19
538,38,4300,-59,15,-43
526,-101,4283,-59,28,-28
517,-41,4266,-43,44,4
500,122,4177,-17,61,20
500,142,4020,-22,63,4
456,-20,3885,-37,47,-9
454,-77,3913,-13,12,7
509,61,4171,6,-18,31
547,165,4379,-8,0,39
541,251,4286,-29,49,38
497,320,4028,-24,77,21
475,252,3907,-7,61,-12
471,72,4007,-6,34,-33


747,8,5932,327,508,31
676,89,5679,377,593,47
628,229,5513,419,647,52
